"c_0","phi_0","a_0","a_py","a_pd","E_a","R_opt","gamma","h_0","h_py","h_pd","E_h"
3638.30142609081,406.335021058345,132416.392731881,8476030526.38887,515.595366694156,415.250257133884,405.445804042623,543.752774556329,422.075718254943,415.336232179581,218.933890737731,415.268352967695
3572.69113323191,406.50555228725,130729.259713062,8369461802.82081,512.711177769553,415.250333999992,402.019294200128,542.958943604462,422.030395303196,415.336444282694,218.951661564734,415.268352924372
3509.05434563208,406.68025193297,129053.373817516,8261080499.15277,509.887619121498,415.250410866161,398.437205258414,542.170431226577,421.985131787728,415.33665366566,218.970065304445,415.268352881049
3447.31126473877,406.859152436483,127388.726284343,8150931921.01153,507.123427250871,415.250487732392,394.731119882429,541.387190836576,421.939927521525,415.336860347807,218.989125212518,415.268352837726
3387.3861219978,407.042286582623,125735.308376758,8039065212.9502,504.417368126739,415.250564598683,390.931297390889,540.60917634667,421.894782318496,415.337064348308,219.008865408522,415.268352794403
3329.20693571124,407.229687503332,124093.111381949,7925533341.7668,501.768236454278,415.250641465036,387.066479188516,539.83634216114,421.849695993463,415.337265686186,219.029310906337,415.268352751081
3272.70528490291,407.42138868095,122462.126610952,7810393068.72451,499.174854961905,415.25071833145,383.163740378284,539.068643170175,421.804668362162,415.337464380312,219.050487645392,415.268352707758
3217.81609884163,407.617423951508,120842.345398518,7693704909.94126,496.636073707071,415.250795197925,379.248383307138,538.306034743804,421.759699241231,415.337660449409,219.072422522751,415.268352664435
3164.47746099206,407.817827508069,119233.759102985,7575533084.16687,494.150769400212,415.25087206446,375.343868697445,537.548472725914,421.714788448206,415.337853912048,219.095143426038,415.268352621112
3112.63042627081,408.02263390407,117636.359106145,7455945447.14301,491.71784474637,415.250948931057,371.471779998477,536.795913428353,421.669935801513,415.338044786656,219.118679267215,415.268352577789
3062.21885058306,408.231878056702,116050.136813121,7335013411.75056,489.336227803985,415.251025797715,367.651816642039,536.048313625115,421.625141120467,415.338233091512,219.143060017192,415.268352534466
3013.18923170284,408.445595250314,114475.08365224,7212811853.19445,487.004871360399,415.251102664435,363.901811993475,535.305630546612,421.580404225261,415.338418844749,219.168316741278,415.268352491143
2965.49056064014,408.663821139827,112911.191074903,7089418998.56187,484.722752323621,415.251179531215,360.237771946526,534.567821874019,421.535724936962,415.338602064358,219.194481635464,415.26835244782
2919.07418271029,408.886591754191,111358.450555466,6964916300.21647,482.488871129894,415.251256398056,356.673930312774,533.834845733708,421.491103077506,415.338782768187,219.221588063513,415.268352404497
2873.89366758637,409.113943499848,109816.853591112,6839388292.65954,480.302251166658,415.251333264958,353.222817399092,533.106660691756,421.446538469692,415.338960973941,219.249670594868,415.268352361174
2829.90468767524,409.345913164231,108286.391701731,6712922432.69634,478.161938210465,415.251410131922,349.895338444934,532.38322574853,421.402030937175,415.339136699185,219.278765043335,415.268352317851
2787.06490421175,409.582537919276,106767.056429795,6585608922.98742,476.066999879455,415.251486998946,346.700858900092,531.664500333349,421.357580304461,415.339309961344,219.308908506547,415.268352274528
2745.33386051475,409.82385532497,105258.839340239,6457540519.33542,474.016525100007,415.251563866032,343.647293856097,530.950444299222,421.313186396902,415.339480777705,219.340139406162,415.268352231205
2704.6728818936,410.069903332908,103761.732020343,6328812322.34831,472.009623587147,415.251640733179,340.741199293517,530.241017917659,421.268849040691,415.339649165419,219.37249752879,415.268352187882
2665.04498173443,410.320720289882,102275.726079609,6199521554.42144,470.04542533839,415.251717600387,337.987863164608,529.536181873554,421.224568062854,415.339815141499,219.406024067601,415.268352144559
2626.4147733327,410.576344941493,100800.813149644,6069767323.28137,468.123080140605,415.251794467655,335.391394687731,528.83589726014,421.180343291247,415.339978722823,219.440761664589,415.268352101236
2588.74838707275,410.836816435781,99336.9848840442,5939650373.6233,466.241757089584,415.251871334985,332.954810577947,528.140125574014,421.136174554549,415.340139926135,219.476754453454,415.268352057913
2552.01339258573,411.10217432688,97884.2329582771,5809272828.63782,464.400644121961,415.251948202376,330.680117269287,527.448828710233,421.092061682259,415.340298768047,219.514048103052,415.26835201459
2516.17872554599,411.372458578699,96442.5490695663,5678737923.45019,462.598947559143,415.252025069828,328.568388491068,526.761968957477,421.048004504687,415.340455265038,219.552689861369,415.268351971267
2481.21461879175,411.647709568619,95011.9249367768,5548149732.67546,460.835891662941,415.252101937342,326.619837837385,526.079508993276,421.004002852951,415.340609433457,219.592728599969,415.268351927944
2447.09253747988,411.927968091218,93592.352300301,5417612894.41502,459.110718202582,415.252178804916,324.833886210869,525.401411879309,420.960056558973,415.34076128952,219.634214858849,415.26835188462
2413.78511800608,412.213275362012,92183.8229219461,5287232333.07736,457.422686032789,415.252255672551,323.209224226008,524.727641056766,420.916165455471,415.340910849319,219.677200891655,415.268351841297
2381.2661104421,412.503673021228,90786.3285848214,5157112983.3919,455.771070682646,415.252332540248,321.743869822294,524.058160341771,420.872329375955,415.341058128814,219.721740711165,415.268351797974
2349.51032425965,412.799203137585,89399.8610932276,5027359517.89779,454.155163954949,415.252409408005,320.435221463222,523.392933920868,420.828548154722,415.34120314384,219.767890134993,415.268351754651
2318.49357712782,413.09990821211,88024.4122725457,4898076080.02975,452.574273535767,415.252486275824,319.280107385227,522.73192634658,420.784821626853,415.341345910106,219.815706831412,415.268351711328
2288.19264658593,413.405831181964,86659.9739691278,4769366024.69384,451.027722613934,415.252563143703,318.274831413401,522.07510253301,420.741149628202,415.341486443195,219.865250365222,415.268351668004
2258.58522440849,413.717015424298,85306.5380501878,4641331667.93614,449.514849510221,415.252640011644,317.415215882082,521.42242775152,420.697531995398,415.341624758567,219.916582243567,415.268351624681
2229.64987349143,414.033504760127,83964.0964036939,4514074046.96545,448.035007315908,415.252716879646,316.696642191987,520.77386762646,420.653968565836,415.341760871559,219.969765961612,415.268351581358
2201.36598710146,414.355343458218,82632.6409382608,4387692691.41195,446.587563540533,415.252793747709,316.114089506417,520.129388130955,420.610459177674,415.341894797385,220.024867047953,415.268351538035
2173.71375034117,414.682576239012,81312.1635830434,4262285406.30242,445.171899768545,415.252870615833,315.662172041713,519.488955582757,420.567003669825,415.342026551141,220.081953109686,415.268351494711
2146.67410369273,415.015248278553,80002.6562876311,4137948066.82686,443.787411324648,415.252947484018,315.335175346491,518.852536640142,420.523601881957,415.342156147798,220.141093876986,415.268351451388
2120.22870851291,415.353405212445,78704.1110219432,4014774424.57985,442.43350694759,415.253024352264,315.127091894742,518.220098297875,420.480253654484,415.342283602212,220.202361247089,415.268351408065
2094.3599143604,415.697093139824,77416.5197761243,3892855924.60092,441.109608472186,415.253101220572,315.031656243757,517.591607883219,420.436958828562,415.34240892912,220.265829327554,415.268351364741
2069.05072804484,416.046358627355,76139.8745604408,3772281532.23018,439.81515051934,415.25317808894,315.042379932807,516.967033052009,420.393717246089,415.342532143138,220.331574478659,415.268351321418
